!DateTime	uas_m.s.1	vas_m.s.1	ps_Pa	tas_degC	tasmax_degC	tasmin_degC	pr_mm	rsds_W.m.2	rlds_W.m.2	hurs_.	cc_frac	petH_mm.day.1	pr_m.s.1
1979-01-01 00:00:00	-1.4459	6.5602	99251	21.504	31.684	13.991	0	370.75	351.31	57.061	0.70655	7.1	0
1979-01-02 00:00:00	-3.7231	4.4087	99618	21.195	26.845	17.451	0	371.19	341.8	45.475	0.71495	5.0795	0
1979-01-03 00:00:00	-4.1382	-1.3965	99219	27.683	34.369	23.681	0	379.38	378.04	24.34	0.66982	6.3418	0
1979-01-04 00:00:00	0.18046	2.0996	98912	26.968	42.242	15.912	0	356.38	389.94	49.103	0.68143	9.9601	0
1979-01-05 00:00:00	0.58223	4.613	99143	22.551	34.555	14.65	0	358.03	365.56	57.77	0.70409	7.8267	0
1979-01-06 00:00:00	-0.55428	1.9896	99074	22.86	29.877	18.532	0	328.75	373.58	45.976	0.72379	5.8465	0
1979-01-07 00:00:00	-0.094456	4.2204	98850	21.057	27.088	15.242	0.13545	333.47	358.64	60.083	0.73267	5.5332	1.5672e-09
1979-01-08 00:00:00	0.89579	3.2114	98458	23.447	32.472	16.823	0	308.93	383.03	49.901	0.73251	6.9184	0
1979-01-09 00:00:00	1.6757	4.5025	98881	20.312	27.075	14.789	0	327.53	349.79	59.901	0.7449	5.585	0
1979-01-10 00:00:00	-0.9503	4.3565	99411	19.839	27.315	13.846	0	369.7	336.32	57.324	0.7191	5.786	0
1979-01-11 00:00:00	-1.7021	4.0298	99697	20.865	27.549	15.903	0.012369	330.4	355.15	53.439	0.73713	5.5323	1.4311e-10
1979-01-12 00:00:00	-2.9439	3.3819	99575	22.419	29.59	16.773	0	351.51	356.62	45.18	0.71635	6.0061	0
1979-01-13 00:00:00	-2.057	-4.5266	98740	30.703	37.08	23.847	0	352.32	401.21	22.339	0.6699	7.1756	0
1979-01-14 00:00:00	1.2402	4.2262	98757	22.914	32.48	15.308	0	347.33	366	60.916	0.71052	7.0482	0
1979-01-15 00:00:00	-3.1491	-0.042928	98512	25.959	31.123	20.672	0	315.11	388.69	36.094	0.71902	5.7514	0
1979-01-16 00:00:00	1.5588	0.65313	98370	24.968	37.736	14.208	12.63	100.75	402.68	59.442	0.86555	8.6275	1.4613e-07
1979-01-17 00:00:00	-1.3273	5.8001	99292	18.489	22.803	14.925	0	367.98	325.47	62.595	0.72751	4.1708	0
1979-01-18 00:00:00	-3.3943	-0.14518	99014	25.608	31.49	20.593	0	361.15	386.38	45.162	0.67332	5.8546	0
1979-01-19 00:00:00	0.96879	-1.9231	98535	29.448	38.097	17.175	18.966	199.52	433.71	54.837	0.77686	8.3861	2.1944e-07
1979-01-20 00:00:00	0.71306	8.3877	99360	18.127	23.291	15.146	1.4017	194.5	364.22	73.472	0.82971	4.2509	1.6218e-08
1979-01-21 00:00:00	-3.0861	7.4113	99821	17.94	22.562	14.37	0	340.29	326.59	61.999	0.74861	4.1635	0
1979-01-22 00:00:00	-3.3021	3.9418	99557	20.53	25.619	17.119	0	363.24	342.72	55.737	0.71287	4.5736	0
1979-01-23 00:00:00	-2.628	0.27664	99285	26.152	32.411	22.17	0	358.36	383.74	45.183	0.6753	5.7641	0
1979-01-24 00:00:00	2.6767	-0.76631	98886	28.645	39.414	14.043	0	329.45	406.47	47.428	0.6811	8.9359	0
1979-01-25 00:00:00	1.9069	6.5909	99576	18.185	21.93	15.385	0	286.99	356.04	62.374	0.766	3.7013	0
1979-01-26 00:00:00	-2.0262	6.408	99985	18.152	22.408	15.155	0	309.6	344.74	62.337	0.75611	3.8975	0
1979-01-27 00:00:00	-3.911	4.8662	99922	20.535	26.041	16.667	0	357.58	338.96	52.21	0.71801	4.7317	0
1979-01-28 00:00:00	-1.292	2.8427	99409	23.233	31.483	16.954	0	359.19	359.9	51.633	0.69499	6.3057	0
