datetime,Air_Temperature_celsius,Precipitation_millimeterPerDay,Potential_Evapotranspiration_ERA5_millimeterPerDay,Potential_Evapotranspiration_HS_millimeterPerDay
1980-01-01 00:00:00,16.01,0,5.8912,4.3984
1980-01-02 00:00:00,21.166,0,6.3306,5.4022
1980-01-03 00:00:00,19.531,0.0075177,6.7099,5.8983
1980-01-04 00:00:00,15.659,0.0031981,5.0661,4.4305
1980-01-05 00:00:00,15.311,0,6.1624,4.3987
1980-01-06 00:00:00,16.78,0,5.9826,4.4767
1980-01-07 00:00:00,16.497,0,6.0885,4.9833
1980-01-08 00:00:00,20.147,0,7.299,5.4147
1980-01-09 00:00:00,21.996,0,8.1517,5.6299
1980-01-10 00:00:00,21.851,0.81371,7.8152,6.6405
1980-01-11 00:00:00,16.394,2.0892,5.0546,2.4734
1980-01-12 00:00:00,16.625,0.099085,4.6549,3.64
1980-01-13 00:00:00,17.03,0,5.7719,4.4862
1980-01-14 00:00:00,19.875,0.11469,7.1865,5.9866
1980-01-15 00:00:00,14.711,0.0077671,4.519,4.0287
1980-01-16 00:00:00,20.247,0,7.3288,4.6588
1980-01-17 00:00:00,23.463,0.60934,9.1787,6.5262
1980-01-18 00:00:00,16.941,0.4153,4.9371,3.9572
1980-01-19 00:00:00,16.864,0.41537,4.7419,3.208
1980-01-20 00:00:00,17.847,0.64012,4.4794,3.4542
1980-01-21 00:00:00,17.803,0.0071246,4.2062,4.4066
1980-01-22 00:00:00,20.711,0.032721,7.2196,5.3721
1980-01-23 00:00:00,17.172,0.0065275,5.9898,4.4011
1980-01-24 00:00:00,18.458,0.22191,5.7561,4.0992
1980-01-25 00:00:00,16.477,0.054833,4.5989,3.738
1980-01-26 00:00:00,14.491,0,5.2108,3.7321
1980-01-27 00:00:00,19.028,0,6.9161,4.9989
1980-01-28 00:00:00,18.914,0.19649,7.3881,4.8159
1980-01-29 00:00:00,15.286,0.018652,4.5846,3.6892
1980-01-30 00:00:00,15.229,0.0012038,4.9356,3.8035
1980-01-31 00:00:00,18.459,0,6.2051,5.076
1980-02-01 00:00:00,19.964,0.21592,6.7915,5.0018
1980-02-02 00:00:00,14.757,0.44254,4.0214,3.7261
1980-02-03 00:00:00,15.139,0,5.3369,3.7119
1980-02-04 00:00:00,15.674,0.0030487,4.2963,3.9505
1980-02-05 00:00:00,17.121,0.11339,5.1418,3.5747
1980-02-06 00:00:00,14.176,0,5.0016,4.0466
1980-02-07 00:00:00,15.826,0.0017002,5.9992,4.4137
1980-02-08 00:00:00,14.799,0.0014778,4.5315,3.5761
1980-02-09 00:00:00,15.116,0,5.7386,3.7869
1980-02-10 00:00:00,19.876,0,6.7805,4.9638
1980-02-11 00:00:00,24.268,0,7.1083,5.0598
1980-02-12 00:00:00,26.109,0.00034903,10.299,6.9157
1980-02-13 00:00:00,20.92,0,6.615,4.177
1980-02-14 00:00:00,23.261,0,8.9428,7.219
1980-02-15 00:00:00,17.554,0,5.8634,4.7754
1980-02-16 00:00:00,18.501,0,5.9406,4.2169
1980-02-17 00:00:00,20.102,0,6.1669,5.0099
1980-02-18 00:00:00,26.868,0,7.6784,5.1238
1980-02-19 00:00:00,32.896,0,10.891,5.7293
1980-02-20 00:00:00,27.585,0.051322,10.175,7.6056
1980-02-21 00:00:00,17.513,0.72352,3.6723,3.6363
1980-02-22 00:00:00,14.891,0.0032673,4.0375,3.1993
1980-02-23 00:00:00,17.128,0.09341,5.0173,3.3312
1980-02-24 00:00:00,14.916,0.063264,4.7713,3.5486
1980-02-25 00:00:00,18.911,0.048711,6.113,3.8915
1980-02-26 00:00:00,23.277,0.55427,7.6995,4.8601
1980-02-27 00:00:00,21.679,0.0038299,5.9873,5.2735
1980-02-28 00:00:00,17.701,0.013997,5.2561,3.8693
1980-02-29 00:00:00,16.004,0,4.589,3.3986
1980-03-01 00:00:00,17.842,0.37197,4.3195,3.6407
1980-03-02 00:00:00,14.574,0.058398,3.5396,3.4352
1980-03-03 00:00:00,18.12,0,5.4141,3.7848
1980-03-04 00:00:00,16.524,0.009812,4.0179,3.8543
1980-03-05 00:00:00,14.976,0,4.5447,3.4549
1980-03-06 00:00:00,20.14,0.86198,5.2986,4.3089
1980-03-07 00:00:00,18.463,0.15138,4.8683,4.3223
1980-03-08 00:00:00,13.139,0.0020069,3.8656,2.7129
1980-03-09 00:00:00,13.281,0,4.6069,2.8534
1980-03-10 00:00:00,16.044,0,4.754,3.206
1980-03-11 00:00:00,21.248,0,6.1577,3.8778
1980-03-12 00:00:00,22.353,0.029435,6.3668,4.1659
1980-03-13 00:00:00,17.663,0.097612,4.8278,3.2678
1980-03-14 00:00:00,17.163,0.16459,3.1797,2.6671
1980-03-15 00:00:00,16.685,0.031454,3.8217,3.1599
1980-03-16 00:00:00,17.865,0,4.5902,3.3262
1980-03-17 00:00:00,23.492,0,6.7729,4.3256
1980-03-18 00:00:00,21.572,0,6.7655,4.9446
1980-03-19 00:00:00,18.191,0,4.5364,3.5293
1980-03-20 00:00:00,26.233,0.00012441,7.3754,4.8902
1980-03-21 00:00:00,15.692,0.0003031,4.5208,3.4371
1980-03-22 00:00:00,14.359,0,4.2515,3.2243
1980-03-23 00:00:00,15.218,0,4.1626,3.2764
1980-03-24 00:00:00,16.098,0,4.1515,3.3007
1980-03-25 00:00:00,18.838,0,4.6787,3.9486
1980-03-26 00:00:00,18.815,0.067852,3.9006,3.777
1980-03-27 00:00:00,15.991,0.097299,3.9038,2.898
1980-03-28 00:00:00,16.197,0.1854,3.5204,2.6519
1980-03-29 00:00:00,15.325,0.040479,2.7813,2.2222
1980-03-30 00:00:00,14.664,0.0042874,2.6912,2.6654
1980-03-31 00:00:00,14.915,0,3.514,2.8861
1980-04-01 00:00:00,17.41,0,3.7889,3.013
1980-04-02 00:00:00,17.649,0.0090438,4.2251,3.1035
1980-04-03 00:00:00,14.56,0.00084759,2.9235,2.5457
1980-04-04 00:00:00,19.566,0.092237,4.5718,3.8994
1980-04-05 00:00:00,14.417,0.028278,2.9973,2.4341
1980-04-06 00:00:00,13.652,0.019392,2.7823,2.6303
1980-04-07 00:00:00,16.544,0,3.972,2.6175
1980-04-08 00:00:00,18.579,0,4.8459,3.1798
1980-04-09 00:00:00,21.251,0,5.6157,3.0374
1980-04-10 00:00:00,24.621,0.0021956,6.7215,2.842
1980-04-11 00:00:00,18.263,0.00057438,4.6249,3.2034
1980-04-12 00:00:00,17.398,0,3.4925,2.6837
