year,colour_prevSummer,TP_prevSummer,chla_prevSummer,rain,wind_speed
1993,21.285714285714285,31.342857142857145,16.757142857142856,449.3664620205602,2.1890308627168897
1994,24.42857142857143,27.3,12.614285714285714,233.0268368663967,2.4390981851866393
1995,27.714285714285715,30.442857142857147,18.257142857142856,579.1526767189787,2.5431483456951356
1996,25.83333333333333,29.45,21.883333333333336,465.79801775988,2.6684602190915445
1997,17.666666666666668,31.28333333333333,21.3,510.7722692543625,2.3266841493291026
1998,19.0,29.41666666666667,23.066666666666666,584.694177902269,2.4080275898825803
1999,34.71153846153847,32.36666666666667,21.1,693.6464425323451,2.594953332959659
2000,50.42307692307693,32.516666666666666,21.633333333333336,633.893689583842,2.5946763078006345
2001,42.56,32.666666666666664,22.16666666666667,566.8540485529401,2.511535505238775
2002,68.70370370370371,38.333333333333336,21.033333333333328,529.2701852860378,2.6173815305146437
2003,54.57692307692307,36.66666666666666,25.5,497.31054244570805,2.4423019168113496
2004,42.875,33.57142857142857,16.821428571428573,391.37202635721786,2.4989229127645536
2005,38.66666666666666,36.833333333333336,25.6,493.44373984851774,2.5349853659046615
2006,46.5,32.01086956521739,20.2,449.33780688666525,2.4633443960307306
2007,48.33333333333334,34.5,29.15416666666667,588.388742775959,2.37820699739637
2008,65.71428571428571,32.16,17.944000000000006,487.73853114124444,2.2031574979750297
2009,69.0,32.75,15.887500000000005,500.98993991366046,2.517219665061849
2010,58.28571428571429,28.956521739130434,16.343478260869567,571.524330090519,2.5672215822972553
2011,61.714285714285715,26.347826086956523,11.69565217391304,592.1751200925061,2.5469563038917458
2012,72.23076923076924,26.56,12.188000000000002,438.78714064190376,2.625791571276087
2013,64.0,26.04166666666667,13.52083333333333,671.1919592071711,2.6113452500062113
2014,60.223076923076924,22.99230769230769,14.13846153846154,495.93542896091265,2.295894387459823
2015,41.86363636363637,20.3,12.6,436.3388673085964,2.8670996199914867
2016,52.83333333333334,24.25,14.924999999999995,660.6758331879806,2.6468290539052277
2017,52.0,18.75,9.590909090909092,431.6484698567931,2.356169363219929
2018,42.0,19.666666666666668,12.866666666666665,358.3936305711596,2.5201553015829394
2019,36.333333333333336,18.666666666666668,10.741666666666667,458.4588772373653,2.4604499024314914
