year,colour_prevSummer,TP_prevSummer,chla_prevSummer,rain,wind_speed
1993,21.285714285714285,31.342857142857145,16.757142857142856,510.39455196997693,2.853131911962445
1994,24.42857142857143,27.3,12.614285714285714,398.9301356094853,2.5186033830331396
1995,27.714285714285715,30.442857142857147,18.257142857142856,620.4383023582849,2.6822879078416655
1996,25.83333333333333,29.45,21.883333333333336,507.1754764637059,2.4144991985272557
1997,17.666666666666668,31.28333333333333,21.3,379.73144431253473,2.4633380532356246
1998,19.0,29.41666666666667,23.066666666666666,522.8975850190341,2.4387915031900516
1999,34.71153846153847,32.36666666666667,21.1,445.9629702104915,2.4794382271530817
2000,50.42307692307693,32.516666666666666,21.633333333333336,688.319881133699,2.6506367856080035
2001,42.56,32.666666666666664,22.16666666666667,915.3099410949684,2.706351001953185
2002,68.70370370370371,38.333333333333336,21.033333333333328,431.8105244443548,2.411500014185297
2003,54.57692307692307,36.66666666666666,25.5,709.7107543882025,2.768690239198496
2004,42.875,33.57142857142857,16.821428571428573,521.0702957459117,2.4918052207325263
2005,38.66666666666666,36.833333333333336,25.6,552.928533574135,2.3111353968852657
2006,46.5,32.01086956521739,20.2,509.22690690401555,2.431630755605115
2007,48.33333333333334,34.5,29.15416666666667,486.05951750758106,2.5085499281760404
2008,65.71428571428571,32.16,17.944000000000006,299.34110144680926,2.457265564129661
2009,69.0,32.75,15.887500000000005,617.0688498836176,2.4145349928590716
2010,58.28571428571429,28.956521739130434,16.343478260869567,541.329190787953,2.4068178887599543
2011,61.714285714285715,26.347826086956523,11.69565217391304,421.2720842234125,2.3439518358662887
2012,72.23076923076924,26.56,12.188000000000002,526.2898583025182,2.616360896334408
2013,64.0,26.04166666666667,13.52083333333333,308.6318459857838,2.435639545978097
2014,60.223076923076924,22.99230769230769,14.13846153846154,647.2559791760999,2.327704621361901
2015,41.86363636363637,20.3,12.6,426.37773680484656,2.52074160580236
2016,52.83333333333334,24.25,14.924999999999995,585.91297286047,2.6341722506557113
2017,52.0,18.75,9.590909090909092,345.26404735303754,2.698573209898052
2018,42.0,19.666666666666668,12.866666666666665,881.4331738728812,2.36424696880698
2019,36.333333333333336,18.666666666666668,10.741666666666667,380.74084833987445,2.3718258763063407
