year,chla_prevSummer,cyano_prevSummer,rainy_days_winter,TP_prevSummer,chla_ES,cyano_ES,rain_ES,TP_ES,chla_LS,cyano_LS,temp_LS,TP_LS,windDays_under_Q0.4_LS,windDays_over_Q0.6_LS
1981,16.471230158730158,,102.0,43.57301587301588,7.075,,282.257779432,23.583333333333336,9.5875,,9.937925681228256,34.08333333333333,41.0,29.0
1982,8.33125,,105.0,28.83333333333333,5.466666666666666,,151.00623331399999,37.77777777777778,6.229166666666665,,10.870945072184782,18.89583333333333,28.0,47.0
1983,5.8479166666666655,,121.0,28.336805555555557,5.98,,182.72881749700005,31.96,6.166666666666668,,10.877161553793485,26.149999999999995,25.0,51.0
1984,6.073333333333334,,121.0,29.055,10.23,,255.82062942299987,27.360000000000007,11.95,,10.635043035782614,25.695,35.0,31.0
1985,11.09,,138.0,26.527500000000003,9.97777777777778,,236.49391209300012,36.6,13.333333333333332,,9.159237285695651,26.725,39.0,40.0
1986,11.655555555555555,,123.0,31.6625,10.911111111111113,,163.43724397199998,33.333333333333336,14.444444444444445,,8.234217844891301,34.244444444444454,36.0,35.0
1987,12.677777777777774,,114.0,33.78888888888889,6.2666666666666675,,251.69644928500009,24.46666666666667,10.755555555555556,,9.05069452652174,22.399999999999995,35.0,38.0
1988,8.511111111111111,,150.0,23.43333333333333,12.855555555555556,,300.12176570600013,31.2,15.255555555555556,,9.694650756086952,27.866666666666664,38.0,34.0
1989,14.055555555555555,,134.0,29.53333333333333,9.05,,184.13527493900003,27.6,21.233333333333334,,9.659623756141304,26.33333333333333,43.0,36.0
1990,15.141666666666667,,129.0,26.966666666666665,9.65,,170.0517146360001,28.9,15.7,,9.739488104260873,28.899999999999995,33.0,39.0
1991,12.675,,137.0,28.9,8.575,,182.15018411200003,25.975,10.275,,10.486401117184784,28.475,41.0,34.0
1992,9.425,,141.0,27.225,13.7,,132.57916957199998,32.45,20.83333333333333,,8.533317835750005,29.86666666666667,37.0,35.0
1993,17.266666666666666,,119.0,31.15833333333334,9.35,,217.24269529100002,25.075,16.966666666666665,,7.744684654260866,30.266666666666666,44.0,33.0
1994,13.158333333333333,,143.0,27.67083333333333,11.65,,61.717935272000005,28.675,27.066666666666666,,9.625215525771742,32.800000000000004,39.0,31.0
1995,19.358333333333334,,165.0,30.737500000000004,20.566666666666666,,210.534631109,26.1,23.200000000000006,,11.812380124521734,32.800000000000004,34.0,40.0
1996,21.88333333333333,,148.0,29.450000000000006,23.93333333333333,2.123333333333333,172.1298755860001,30.8,18.666666666666668,4.233333333333333,10.988608220793477,31.76666666666667,45.0,33.0
1997,21.3,3.1783333333333337,159.0,31.28333333333333,21.033333333333328,1.3166666666666669,180.95761478200004,29.6,25.1,2.0866666666666664,11.473125776152177,29.23333333333333,43.0,28.0
