year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1980,12.169126983833335,,,,,,234.73298576799996,79.892563452,,15.38182872952174,36.084126985000005,,43.0,24.0
1981,7.075,16.471230158916665,,,,,277.5573128609999,104.66002263099999,54.0,14.131170123402176,23.583333335,43.57301587333334,28.0,41.0
1982,5.466666666666666,8.33125,,,,,158.725612669,177.090691559,70.0,14.47772464193478,37.77777777666667,28.833333335,25.0,36.0
1983,5.98,5.8479166666666655,19.4,26.666666666666668,,,190.72365721100005,123.26220338699999,70.0,14.588269706934778,31.96,28.336805554583336,23.0,47.0
1984,10.23,6.073333333333334,,17.03333333333333,,,247.10535462300004,71.449448471,52.0,14.832074699249992,27.360000000000003,29.055,17.0,48.0
1985,9.977777777666667,11.09,34.11111111,,,,237.12817411500004,174.08196078100002,66.0,14.29097398177174,36.60000000333333,26.527500000000003,33.0,34.0
1986,10.91111111,11.655555555083334,31.444444446666665,34.368055555,,,157.605420073,123.525222786,54.0,14.798631147771733,33.333333333333336,31.662500001666665,11.0,63.0
1987,6.266666666666667,12.677777776666666,27.88888889,27.472222223333333,,,256.33585837400005,158.07003645199998,71.0,12.806458453880433,24.46666666666667,33.78888889,33.0,32.0
1988,12.855555556666667,8.511111111166667,27.777777776666667,29.027777778333334,,,288.426396308,255.111442149,88.0,15.743091441108694,31.2,23.43333333333333,30.0,31.0
1989,9.05,14.055555556666668,24.75,32.27777777666667,,,179.90925877399997,260.2513244390001,55.0,14.826893244043479,27.599999999999998,29.53333333333333,15.0,47.0
1990,9.649999999999999,15.141666666666667,21.75,23.708333333333336,,,174.55386065700011,221.509069557,71.0,15.07734662466304,28.900000000000002,26.966666666666665,18.0,44.0
1991,8.575,12.675,21.75,19.541666666666664,,,164.324488292,114.713724637,59.0,13.89821716027174,25.974999999999998,28.9,28.0,43.0
1992,13.7,9.425,25.25,20.625,,,131.654156546,177.084014929,53.0,16.160273793836954,32.45,27.224999999999998,18.0,46.0
1993,9.350000000000001,17.266666666666666,23.0,20.625,,,223.58935445400002,80.29477058,49.0,14.060785755489132,25.075,31.15833333333334,24.0,39.0
1994,11.649999999999999,13.158333333333333,31.25,24.666666666666664,,,57.3509345,166.635496414,66.0,15.222773273760872,28.675,27.670833333333334,17.0,50.0
1995,20.566666666666666,19.358333333333334,28.333333333333332,27.125,,,204.725441187,215.38621408900008,73.0,14.069588209652174,26.099999999999998,30.737500000000004,27.0,35.0
1996,23.933333333333334,21.883333333333333,20.333333333333332,25.833333333333332,4.42,,175.53040840700004,53.116438754,37.0,13.072271623010868,30.8,29.450000000000003,26.0,40.0
