var,model,pearsons_cc,spearman_cc,mae,rmse,bias,mape,mathews_cc,roc_auc_score,classification_error
TP,sim_naive,0.636,0.639,3.422,4.387,0.488,2.625,0.180,0.591,0.405
TP,sim_metno,0.646,0.638,2.985,3.680,-0.057,1.639,0.343,0.669,0.324
TP,sim_nomet,0.646,0.637,2.985,3.682,-0.068,1.599,0.343,0.669,0.324
chla,sim_naive,0.648,0.631,3.614,4.600,0.058,5.054,0.706,0.853,0.108
chla,sim_metno,0.622,0.595,3.539,4.378,-0.093,8.248,0.228,0.594,0.270
chla,sim_nomet,0.605,0.589,3.490,4.444,-0.063,9.125,0.180,0.563,0.270
colour,sim_naive,0.849,0.843,7.295,9.208,0.845,5.533,0.551,0.780,0.212
colour,sim_metno,0.866,0.869,6.427,8.406,-0.516,2.777,0.371,0.678,0.286
colour,sim_nomet,0.844,0.851,6.872,9.048,-0.753,2.706,0.441,0.717,0.257
cyano,sim_naive,0.563,0.715,1.192,1.760,0.183,76.168,0.565,0.785,0.217
cyano,sim_metno,0.594,0.724,1.169,1.539,-0.020,125.136,0.699,0.833,0.174
cyano,sim_nomet,0.614,0.733,1.182,1.511,-0.007,117.067,0.699,0.833,0.174
