var,model,pearsons_cc,spearman_cc,mae,rmse,bias,mape,mathews_cc,roc_auc_score,classification_error
TP,sim_era5,0.844,0.839,2.871,3.520,-0.223,1.649,0.652,0.826,0.174
TP,sim_era5_av,0.844,0.839,2.871,3.520,-0.223,1.649,0.652,0.826,0.174
TP,sim_naive,0.841,0.834,2.816,3.334,0.180,1.446,0.633,0.817,0.182
TP,s5_0.5_summer,0.845,0.841,2.862,3.510,-0.232,1.611,0.652,0.826,0.174
TP,s5_0.5_late_summer,0.845,0.841,2.862,3.510,-0.232,1.611,0.652,0.826,0.174
chla,sim_era5,0.704,0.719,2.975,3.857,-1.080,-2.807,0.225,0.595,0.348
chla,sim_era5_av,0.648,0.680,3.214,4.152,-1.232,-2.753,0.225,0.595,0.348
chla,sim_naive,0.582,0.653,3.699,4.836,0.362,5.369,0.716,0.866,0.136
chla,s5_0.5_summer,0.645,0.685,3.218,4.117,-1.063,-1.698,-0.046,0.484,0.435
chla,s5_0.5_late_summer,0.605,0.666,3.457,4.307,-1.102,-1.899,-0.046,0.484,0.435
colour,sim_era5,0.716,0.572,8.200,10.214,-1.769,0.046,0.214,0.608,0.391
colour,sim_era5_av,0.689,0.563,8.718,10.581,-2.326,-0.218,0.214,0.608,0.391
colour,sim_naive,0.710,0.574,8.991,10.751,0.466,4.105,0.354,0.675,0.318
colour,s5_0.5_summer,0.691,0.553,8.718,10.662,-2.865,-1.440,0.313,0.658,0.348
colour,s5_0.5_late_summer,0.700,0.606,8.550,10.488,-2.356,-0.476,0.389,0.696,0.304
cyano,sim_era5,0.525,0.688,1.112,1.792,-0.765,18.678,0.753,0.878,0.125
cyano,sim_era5_av,0.624,0.745,1.076,1.768,-0.836,21.757,0.753,0.878,0.125
cyano,sim_naive,0.563,0.715,1.192,1.760,0.183,76.168,0.565,0.785,0.217
cyano,s5_0.5_summer,0.631,0.726,1.072,1.737,-0.793,30.272,0.753,0.878,0.125
cyano,s5_0.5_late_summer,0.551,0.731,1.079,1.802,-0.807,25.978,0.832,0.916,0.083
