,uas,vas,ps,tas,pr,rsds,rlds,hurs,cc
01/01/1979,0.6069167,-3.772057712,1009.742324,-16.79396454,0,23.33706922,200.2695085,67.59819926,3.36E-05
02/01/1979,0.207414894,-3.749562649,1008.079414,-9.394036884,0,14.7942691,226.3099726,76.2921571,3.36E-05
03/01/1979,-0.233790148,-3.97676174,1009.867967,-9.504466101,0,17.92481641,219.4753478,82.67595982,3.36E-05
04/01/1979,-0.574569744,-3.585152987,1012.289665,-14.41216392,0,18.54854662,207.8983739,80.80821699,3.36E-05
05/01/1979,-0.53795948,-1.906581605,1015.768669,-14.85753004,0,13.42076558,215.6930149,81.98090153,3.36E-05
06/01/1979,1.01743199,3.657189885,1009.770543,-4.637167552,1.781715564,7.39034201,252.5253444,88.86405895,3.36E-05
07/01/1979,5.345843713,5.398215399,993.8055978,2.887879062,3.088970813,6.657923501,283.345581,85.62258022,3.36E-05
08/01/1979,5.071349603,2.172985459,992.4940277,0.578081093,0,13.55258277,243.6660673,75.46691634,3.36E-05
09/01/1979,3.173114367,1.744692937,990.8869822,-2.574865852,0,18.20470058,239.4434741,88.62480975,3.36E-05
10/01/1979,-0.003121066,1.659035119,985.4829501,-3.452571495,0,12.91564795,246.1227831,90.12164658,3.36E-05
11/01/1979,-4.893077012,0.178158709,981.359368,-1.880589334,5.917291706,6.758363079,266.6315561,86.6893121,3.36E-05
12/01/1979,-3.829727499,-4.138068948,989.3744497,-2.180244918,6.684105621,5.079598149,267.8705822,83.52351506,3.36E-05
13/01/1979,-1.26152707,-5.033220716,994.3361569,-4.254828536,4.472773499,6.757265675,263.547907,78.79042911,3.36E-05
14/01/1979,0.083988643,-2.400361191,1010.798914,-5.739633334,0,12.52550903,250.2808191,85.79586758,3.36E-05
15/01/1979,0.154225868,-2.204133005,1022.292684,-10.1373904,0,22.3179229,231.6263908,86.05874936,3.36E-05
16/01/1979,-0.206746012,1.607205992,1023.945384,-6.541338286,0,14.18268965,239.8605546,90.10603609,3.36E-05
17/01/1979,-1.483232037,-0.580610202,1024.317902,-4.323354586,0,11.63541756,259.5438092,90.94149943,3.36E-05
18/01/1979,-1.380093607,-1.970685189,1028.700863,-4.111684647,0,16.90518161,243.2183449,87.85260086,3.36E-05
19/01/1979,-2.48200872,-1.277382238,1030.490889,-2.382216169,0,13.44175365,259.5569839,86.19165222,3.36E-05
20/01/1979,-1.658929702,-1.114952522,1026.550487,-4.669544962,0,16.28407588,257.570453,87.81200284,3.36E-05
21/01/1979,-2.194986421,-1.028323534,1028.888422,-4.864371744,0,13.4773803,251.6476782,87.19499019,3.36E-05
22/01/1979,-0.325240792,-1.204733396,1018.774938,-6.061758299,0,14.7917508,253.0432563,87.32237628,3.36E-05
23/01/1979,-0.294401601,0.350618891,1007.395705,-6.655164463,0,14.19913612,246.7703442,87.24065759,3.36E-05
24/01/1979,-2.184768657,-2.5872676,994.9828477,-6.475051187,1.035731194,9.794320978,257.3621559,86.99499777,3.36E-05
25/01/1979,-2.85227012,-1.770356812,988.907678,-9.663527699,0,16.86757628,250.6303984,83.11291025,3.36E-05
26/01/1979,-1.386216601,-3.577344767,985.0304829,-15.28162121,1.300716664,21.44641076,232.9237437,79.05973444,3.36E-05
27/01/1979,0.482892411,-1.653361971,984.1881345,-14.82206549,0,32.66960023,224.5671745,77.38361585,3.36E-05
28/01/1979,0.001786478,1.065245775,990.6635049,-8.73358086,0,21.04570474,236.4787482,87.14207571,3.36E-05
29/01/1979,-0.901772118,1.326717719,998.8050324,-7.148819154,0,15.41713903,245.1835349,87.35986971,3.36E-05
30/01/1979,-1.65004017,-2.613781442,1000.60308,-8.976622362,0,20.99880906,244.8943606,83.47476575,3.36E-05
31/01/1979,0.10510472,-3.193224706,995.170526,-8.642818512,0,24.9129211,237.0460815,73.93840485,3.36E-05
01/02/1979,-0.566241629,1.046031544,982.8381892,-7.768746049,1.16264126,17.27497352,243.6745092,84.55852554,0.001452968
02/02/1979,1.020056384,-0.8391471,976.9607889,-7.8085906,0,24.09000645,249.5645817,83.42888528,0.001452968
03/02/1979,1.132777089,-1.334681812,971.2235252,-7.76196078,7.124382624,23.46600476,231.2135064,78.5155885,0.001452968
