"par","terc","roc","sig"
"psl","lower",0.141975308641975,FALSE
"psl","middle",-0.283950617283951,FALSE
"psl","upper",-0.135802469135803,FALSE
"tcc","lower",-0.450617283950617,FALSE
"tcc","middle",0.271604938271605,FALSE
"tcc","upper",-0.296296296296296,FALSE
"uas","lower",-0.0370370370370371,FALSE
"uas","middle",0.320987654320988,FALSE
"uas","upper",-0.111111111111111,FALSE
"vas","lower",-0.00617283950617287,FALSE
"vas","middle",0.160493827160494,FALSE
"vas","upper",-0.0123456790123457,FALSE
"tas","lower",-0.0370370370370371,FALSE
"tas","middle",0.265432098765432,FALSE
"tas","upper",-0.395061728395062,FALSE
"tdps","lower",-0.401234567901235,FALSE
"tdps","middle",-0.283950617283951,FALSE
"tdps","upper",-0.179012345679012,FALSE
"rsds","lower",-0.197530864197531,FALSE
"rsds","middle",0.320987654320988,FALSE
"rsds","upper",-0.376543209876543,FALSE
"rlds","lower",-0.246913580246914,FALSE
"rlds","middle",-0.172839506172839,FALSE
"rlds","upper",-0.358024691358025,FALSE
"tp","lower",-0.438271604938272,FALSE
"tp","middle",0.148148148148148,FALSE
"tp","upper",-0.0864197530864198,FALSE
