"par","terc","roc","sig"
"psl","lower",0.0308641975308641,FALSE
"psl","middle",0.425925925925926,FALSE
"psl","upper",0.0802469135802468,FALSE
"tcc","lower",-0.376543209876543,FALSE
"tcc","middle",-0.481481481481482,FALSE
"tcc","upper",-0.475308641975309,FALSE
"uas","lower",-0.0864197530864198,FALSE
"uas","middle",-0.154320987654321,FALSE
"uas","upper",0.0123456790123457,FALSE
"vas","lower",0.265432098765432,FALSE
"vas","middle",0.185185185185185,FALSE
"vas","upper",0.12962962962963,FALSE
"tas","lower",0.246913580246914,FALSE
"tas","middle",0.240740740740741,FALSE
"tas","upper",0.41358024691358,FALSE
"tdps","lower",-0.0493827160493827,FALSE
"tdps","middle",-0.135802469135803,FALSE
"tdps","upper",-0.0617283950617284,FALSE
"rsds","lower",-0.0555555555555556,FALSE
"rsds","middle",-0.41358024691358,FALSE
"rsds","upper",-0.166666666666667,FALSE
"rlds","lower",0.0432098765432098,FALSE
"rlds","middle",0.166666666666667,FALSE
"rlds","upper",0.0617283950617284,FALSE
"tp","lower",0.00617283950617287,FALSE
"tp","middle",0.0740740740740742,FALSE
"tp","upper",-0.117283950617284,FALSE
