"par","terc","roc","sig"
"psl","lower",-0.141666666666667,FALSE
"psl","middle",-0.232142857142857,FALSE
"psl","upper",-0.108333333333333,FALSE
"tcc","lower",0.566666666666667,TRUE
"tcc","middle",-0.303571428571429,FALSE
"tcc","upper",0.416666666666667,FALSE
"uas","lower",0.05,FALSE
"uas","middle",0.3125,FALSE
"uas","upper",-0.0583333333333333,FALSE
"vas","lower",0.175,FALSE
"vas","middle",0.5625,TRUE
"vas","upper",0.0583333333333333,FALSE
"tas","lower",0.241666666666667,FALSE
"tas","middle",0.366071428571429,FALSE
"tas","upper",0.258333333333333,FALSE
"tdps","lower",0.05,FALSE
"tdps","middle",0.0714285714285714,FALSE
"tdps","upper",0.125,FALSE
"rsds","lower",0.425,FALSE
"rsds","middle",0.25,FALSE
"rsds","upper",0.45,TRUE
"rlds","lower",0.208333333333333,FALSE
"rlds","middle",0.535714285714286,TRUE
"rlds","upper",0.408333333333333,FALSE
"tp","lower",0.0083333333333333,FALSE
"tp","middle",0.116071428571429,FALSE
"tp","upper",-0.408333333333333,FALSE
