"","score","sd","sig"
"uas",0.0298542002581192,0.0100472901843941,FALSE
"vas",0.0611224149558561,0.0109215940604609,FALSE
"dp",0.415282952145231,0.0152005685605328,FALSE
"tas",0.516324282041539,0.0150922496813572,FALSE
"cc",-0.0019728872046092,0.00784569330835317,FALSE
"pr",-0.113596974458514,0.0155067978839393,FALSE
"rsds",0.38452703748207,0.0165524781611704,FALSE
"rlds",0.256953581319558,0.0166144170520827,FALSE
"pet",-1.53603205437622,0.023035920320596,FALSE
"ps",-0.0134620215464563,0.00834042321150917,FALSE
"tasmin",0.416590571114603,0.0164373745983402,FALSE
"tasmax",0.455052481402745,0.0155953283673142,FALSE
"Q",0.0246093943097363,0.0117313857167753,FALSE
"temp5",0.509525887434937,0.0207198471888342,FALSE
"temp50",-0.0340014194040259,0.0323692716190453,FALSE
