"","score","sd","sig"
"uas",0.00435228774924468,0.00857973982804832,FALSE
"vas",0.0298179015603506,0.00860251509267405,FALSE
"dp",0.379763579976979,0.0138602532146957,FALSE
"tas",0.355141738418002,0.0163477001783908,FALSE
"cc",0.0125772945767216,0.00749540555609674,FALSE
"pr",-0.0674392589129988,0.0137109543989797,FALSE
"rsds",0.154185677210301,0.0176831747889758,FALSE
"rlds",0.272895215404798,0.0139887763142792,FALSE
"pet",-0.97640887119609,0.0234602420632666,FALSE
"ps",0.0366886184705447,0.00896264481082381,FALSE
"tasmin",0.366142685049753,0.0169705080197948,FALSE
"tasmax",0.20733978383287,0.0159142087110744,FALSE
"Q",0.11986045475184,0.0110266278097841,FALSE
"temp5",0.696884615384616,0.0135979332535798,TRUE
"temp50",0.396423076923077,0.0245728423862841,FALSE
