"date","obs_psl","ERA5_psl","psl_1","psl_2","psl_3","psl_4","psl_5","psl_6","psl_7","psl_8","psl_9","psl_10","psl_11","psl_12","psl_13","psl_14","psl_15","psl_16","psl_17","psl_18","psl_19","psl_20","psl_21","psl_22","psl_23","psl_24","psl_25"
1993-03-01,NA,99359.962373786,99836.9137772715,98896.3872238958,99324.2085643336,99564.6706654642,99522.7772665543,98536.2153268525,99388.8583399843,99373.4095287221,99596.8259551171,99616.9025985091,99245.1960280499,98888.8345011166,99435.7562508147,98736.8067576349,99581.9687110193,98732.7500219409,98591.207714843,99232.6189866743,98973.0466416989,99485.0169274187,99463.8010165172,99445.3013916891,99172.7806722719,99036.9560045956,99621.8366201226
1993-03-02,NA,99677.6887441607,99609.1490823159,99305.389612262,99584.3104203969,99405.6248794664,99547.4506211137,98865.1266434268,99491.1072235383,99368.7810512803,99846.6145771364,99767.9345344142,99797.697745372,99108.9057708621,99319.2306400282,99258.01513114,99627.940394877,98811.0538236559,99123.3392756046,99167.008593325,99450.4651550208,99489.8645261803,99561.2434454851,99268.5745978474,98970.9234790765,98484.3569001255,99589.0426910283
1993-03-03,NA,99663.1232948161,99082.1619951789,99578.5413800809,99797.0383569689,99572.244260494,99450.0136686698,99627.115194504,99157.3989777562,99726.181921679,99826.5327741623,99207.3125501803,99803.9946616441,98907.8339930881,99204.6447420883,99603.8285702844,99461.8368602821,99154.9019775548,99693.3410109689,99264.0122342151,99737.7973206498,99036.0146378559,99473.9003286154,99054.8631465192,98829.7319843037,97507.1223045499,99407.3961369899
1993-03-04,NA,99498.2781735388,99033.6191157345,99724.2082579509,99576.2254803387,99333.4085529092,99137.5954523492,99970.1654005748,99150.0951764717,99608.4441245956,99549.4377021961,98888.486790801,99596.5349247559,99538.7265351769,99596.8259551171,99833.9849137104,99227.7853786522,98890.5799253123,99870.3263210076,99556.4940366321,99482.9721877754,99425.9218831408,99575.299601292,99187.5399449139,99079.6747770638,98668.0927219981,99224.2517527342
1993-03-05,NA,99273.3002283483,99125.7342139235,99629.9774719177,99636.2528269889,99201.4853418529,98956.3585274897,99204.5987311457,99361.9013828721,99548.8876168342,99492.6224425352,98773.6448472195,99281.6282943949,100120.100547284,99443.3154834871,99539.023316262,99629.6287453743,97955.4905448126,99993.0931044391,99983.6915452614,98836.7946171736,99970.1654005748,99150.0951764717,99444.4463845748,99562.8238305166,99112.9718836062,99327.5185722642
1993-03-06,NA,99028.6681732271,99199.2748336491,99646.1813179377,99729.2017828958,98890.5799253123,98776.7628958506,98688.67988034,99158.6816670585,99544.6673043623,99302.1999570806,99233.8973129822,99127.8246900498,100127.928461757,99425.9218831408,99034.1915346043,100000.330642044,97951.0751040585,99818.0265310427,99837.1017016546,98928.4971254871,99946.3461187338,99509.4146627388,99583.0797561982,99453.4843403603,98986.1730550767,98962.6196194194
1993-03-07,NA,99101.0504272254,98906.529771832,99304.2237322814,99630.6888497971,98286.7025843669,98561.4942141293,98327.5367185469,98820.3697677828,99433.7923356114,99125.9759472616,99646.1813179377,99033.2734852956,99484.5932107418,99556.4940366321,98700.060647426,99948.8095561494,99471.7327445881,99636.516850329,99329.3171113241,99548.8876168342,99589.4661902697,100174.081004167,99859.7598691832,98934.5289580186,99008.0998403655,99038.3452756797
1993-03-08,NA,99485.1311335814,98543.5161945993,99659.27250552,99485.2078301507,99215.0642955168,99266.658886277,98310.4841318702,99644.8316768654,98923.1348605405,99333.8559934113,100075.389589553,99104.0590444868,99131.0471077659,99679.9341489384,99313.8060637276,99715.5358020283,99604.4990526645,99212.9405967383,99289.2700665859,99789.8077992592,99137.5954523492,100222.549717567,99899.4837071894,98706.6668684033,99805.5302770871,99665.5140655235
1993-03-09,NA,99460.215378422,98872.1156033809,99704.3382365105,99601.8072908224,99640.8107384689,99840.7322333149,99107.9081441016,100339.946563041,98745.0245635664,99309.5818177732,100135.999321503,99366.3224789936,98888.7900117073,99734.1572239031,98917.4320366137,99287.6404177983,99486.3400756345,98507.9196166103,99511.6163859813,100095.338172824,99101.4502152145,99801.1520032479,99855.1137861287,99180.3612451947,100090.990324964,99202.5254511278
1993-03-10,NA,99901.8555204222,99442.1015401595,99526.5455867412,99847.6660768405,99667.3471384869,99945.6964846541,99404.6478856685,100231.614455594,99279.7675982503,99192.5292720433,99808.8956815045,99983.2274530952,98878.063589534,99591.2924861771,99414.5160255444,98594.5646217077,99708.3568508626,98854.8870181724,99991.2218339481,100100.893830586,99053.499055016,99131.5165028261,99802.1534754878,98281.4600924745,99806.7602134133,99129.318486421
1993-03-11,NA,99945.6561957648,99695.7843251255,99360.4225705884,99762.1051308982,99806.7602134133,99987.1574740378,99802.3479882556,99629.6287453743,99490.1879043215,99163.8812380318,99623.5241319221,99551.6419586632,99205.4807655627,99154.9019775548,99644.8316768654,97951.4852327401,99278.1143874575,99077.613684167,100103.691965044,99890.840391213,99201.8128573269,99128.5790164765,99721.1488101096,99069.6483821825,99222.6491282125,99348.0175550138
1993-03-12,NA,99444.7635156186,99835.1823099034,99484.1535756195,99446.9606687253,99863.7398950726,99915.1407585863,100116.96899169,99059.0463924661,99449.9647887823,98774.8626184275,99621.8366201226,98837.4161173804,99444.9403939415,98373.7573022801,99321.4698772278,99072.229637902,99622.0674877213,99131.0471077659,99722.9062159004,99844.1707375302,99689.592689187,99897.3300152173,99581.9687110193,99243.5215423372,99160.0703223901,99265.025044952
1993-03-13,NA,99168.102953968,99424.0032195317,99392.1969713804,99422.5146477855,99672.8697969207,99798.3031255513,100253.618021999,99037.7635909347,98880.3280016572,99502.7321036349,99788.9484696003,98796.280693499,99412.1958835327,98508.0035652872,99442.7814805696,99659.27250552,100390.739789499,99638.8551675424,99227.9068543489,99660.1490473453,100196.697675341,99870.3263210076,99839.2740460919,99111.6621281312,99695.9300036028,98970.0640858317
