date,obs,ERA5,SEAS5_1,SEAS5_2,SEAS5_3,SEAS5_4,SEAS5_5,SEAS5_6,SEAS5_7,SEAS5_8,SEAS5_9,SEAS5_10,SEAS5_11,SEAS5_12,SEAS5_13,SEAS5_14,SEAS5_15,SEAS5_16,SEAS5_17,SEAS5_18,SEAS5_19,SEAS5_20,SEAS5_21,SEAS5_22,SEAS5_23,SEAS5_24,SEAS5_25
1993-12-01,9.225,11.9971,8.4476,14.0773,11.1277,5.0197,8.6193,5.0484,4.9194,11.3889,8.7761,7.8469,6.7842,10.6331,10.3536,10.5919,14.9001,5.3512,8.6838,14.8199,9.0975,9.978,12.2069,5.2594,13.6177,20.996,12.1252
1993-12-02,9.259,11.5122,8.3069,18.4944,10.2989,4.818,8.0766,4.8249,4.764,10.5976,8.5324,7.2278,6.6143,10.016,9.8589,9.8456,13.6253,5.1116,8.3728,13.7585,8.3718,9.1503,22.074,5.244,12.1418,18.843,11.2251
1993-12-03,7.755,10.2452,8.0009,18.2172,9.5674,4.6427,7.5889,4.6212,4.621,9.8717,8.4318,6.7455,8.319,9.413,9.6425,9.1782,12.6636,4.8905,8.2165,12.702,7.763,9.1132,72.9222,5.1527,11.2693,17.0642,10.9341
1993-12-04,8.333,9.5048,7.5901,15.1045,23.6739,4.477,7.1827,4.4373,4.4795,9.1372,8.8819,6.2974,9.6477,8.8726,9.6189,8.5799,11.6101,4.6915,8.1368,11.698,7.2073,18.9189,103.9314,4.9979,10.2717,24.5733,10.7632
1993-12-05,8.333,8.9398,7.1399,13.8885,44.8611,4.3163,7.2408,4.2713,4.345,8.4778,9.5805,5.9057,12.5754,8.4031,10.4386,8.0426,10.7275,4.5236,8.029,10.8393,6.7366,20.4527,104.484,4.8087,9.429,33.5172,11.7001
1993-12-06,4.745,8.4256,6.7146,27.5224,49.1304,4.1621,7.451,4.1221,4.257,7.9043,9.6947,5.5689,12.8149,7.9928,10.935,7.5592,10.374,7.0181,7.8119,10.1164,6.3444,18.9048,85.7816,4.6171,8.7296,36.4056,11.9194
1993-12-07,6.713,8.1653,6.3339,28.0359,44.8163,4.0176,7.5952,3.989,4.4154,7.4027,9.3279,5.2759,12.1431,7.6237,10.9572,7.1235,16.1754,8.3751,7.4987,9.4673,6.0092,15.36,64.6024,4.4376,8.1274,34.8718,11.6503
1993-12-08,9.144,7.9627,6.2068,24.3617,38.4558,3.8859,7.5185,3.8698,5.2474,6.96,8.7235,5.0377,10.9331,7.3664,10.5456,6.7304,30.2274,8.5678,7.1279,8.8646,5.7106,13.5139,46.7859,4.2741,7.5987,32.0659,16.9976
1993-12-09,6.019,7.7054,6.2365,20.0185,34.6632,3.7668,7.2711,3.761,6.8034,6.5668,8.135,5.3925,9.9926,10.1398,9.9734,6.3753,33.4716,8.0326,6.7437,8.3024,5.4367,14.1857,36.7615,4.1262,7.1301,29.8021,33.7724
1993-12-10,4.919,7.3415,6.286,17.4939,31.0691,3.6759,6.9314,3.6601,8.9754,6.2151,7.584,5.7164,9.2756,12.5837,9.3559,6.054,31.3738,7.5156,6.5076,7.7874,5.9856,13.9455,32.2479,3.9923,6.7123,27.2193,58.6309
