date,obs,ERA5,SEAS5_1,SEAS5_2,SEAS5_3,SEAS5_4,SEAS5_5,SEAS5_6,SEAS5_7,SEAS5_8,SEAS5_9,SEAS5_10,SEAS5_11,SEAS5_12,SEAS5_13,SEAS5_14,SEAS5_15,SEAS5_16,SEAS5_17,SEAS5_18,SEAS5_19,SEAS5_20,SEAS5_21,SEAS5_22,SEAS5_23,SEAS5_24,SEAS5_25
1993-12-01,NA,1.1306,3.2277,3.4691,-0.3548,1.4785,-0.8885,-0.4679,2.0565,-2.5171,2.165,-0.571,4.2027,4.9792,3.0611,3.5595,-0.2449,3.7162,1.0435,-3.8098,3.4917,2.8664,4.1371,-0.9948,0.42,-2.4042,-3.067
1993-12-02,NA,0.6058,2.0087,6.9329,0.5314,1.5653,-1.743,-0.1461,1.3116,-3.1801,1.7505,-1.2283,3.0653,5.5358,2.2915,4.8586,-2.8992,3.2189,2.059,-4.5369,3.0807,2.7221,6.166,1.6566,0.1927,-0.01,-1.9941
1993-12-03,NA,3.1892,-0.3723,4.6118,3.9918,-1.0816,-1.4739,0.6959,1.3116,-2.3356,1.0346,-2.9417,3.218,4.7761,1.923,2.7492,-3.5495,3.1751,5.0028,-4.3763,2.3131,2.1061,5.1602,2.059,0.721,2.1545,3.2667
1993-12-04,NA,0.0117,-1.5222,2.3124,6.0488,-0.8677,-0.1299,0.1181,-0.1591,-1.8234,0.066,-2.7676,4.9699,3.8563,-0.3506,5.3857,-2.3447,3.2185,5.938,-4.4192,0.3201,1.0515,6.2094,3.9368,0.4115,2.8399,3.782
1993-12-05,NA,-1.9404,-1.2358,-0.6271,5.683,-0.8502,0.9539,2.0269,-0.6901,-0.3348,0.1751,-2.4042,3.5731,4.7683,-1.1261,3.7618,-1.5487,2.6926,4.623,-0.6288,0.799,1.3805,4.2039,3.5125,0.3054,7.2138,4.8383
1993-12-06,NA,5.022,-1.3484,1.6007,4.2337,-1.1536,4.7966,4.3408,-0.7251,-1.1007,1.8252,-0.358,7.0369,5.1678,-0.7367,3.3635,-1.1049,1.8924,4.3995,0.7275,0.7327,-1.123,2.0436,1.6471,0.2286,5.4915,4.1081
1993-12-07,NA,-3.3925,-1.2372,4.0868,4.9792,-2.1052,0.7265,4.3351,-1.5296,-0.515,0.4626,-1.281,5.8608,5.1049,-1.9025,4.5965,1.6751,4.3666,2.5803,-1.0283,-1.7479,-0.8042,0.1549,0.2275,0.7381,3.7721,1.7856
1993-12-08,NA,-8.6769,0.2118,0.1795,7.4475,-2.4057,1.1935,0.7275,-0.3667,2.3171,0.5996,-0.2465,3.3031,3.0286,-1.4574,4.0612,3.854,1.6756,3.726,-0.3134,-2.8052,0.6759,2.0157,3.6274,0.7381,2.8264,1.3338
1993-12-09,NA,-3.4437,-1.7571,-1.3079,5.6738,-1.7342,3.9685,4.0722,0.3815,3.0617,1.6988,-0.4071,4.1088,1.3529,-0.1564,4.1961,-0.131,-0.9918,4.4413,-2.7676,-2.4357,1.8206,1.7064,1.0906,0.8908,2.059,2.609
1993-12-10,NA,0.2393,-1.9386,-0.2291,4.187,-0.675,5.7232,3.1719,3.843,4.9851,2.1269,-1.4838,4.5809,4.1909,-1.3271,2.876,-0.1664,-0.5213,4.1733,-4.1547,-2.5889,2.6596,1.3156,2.2915,-0.0476,2.187,6.166
